                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.63144,                0.50717,                 0.9751,                0.90093,                0.83713,                0.91462,                 0.7302,                0.85321,                0.62847,                 1.1291,             0.00077823,             0.00077823,             0.00077823
                     48,                0.65098,                0.51146,                 0.9866,                0.89949,                0.84895,                0.91639,                0.70123,                0.87178,                0.66898,                 1.1592,             0.00076409,             0.00076409,             0.00076409
                     49,                0.65139,                0.51235,                0.98662,                0.96815,                0.86579,                0.93376,                0.73161,                0.80818,                0.57108,                 1.1397,             0.00074994,             0.00074994,             0.00074994
                     50,                0.64862,                0.49627,                0.98379,                0.92686,                  0.924,                0.94054,                0.76526,                0.79398,                0.48809,                 1.0811,             0.00073579,             0.00073579,             0.00073579
                     51,                0.63097,                0.48203,                0.98533,                0.91415,                0.91252,                  0.935,                 0.7543,                0.78851,                0.52321,                 1.0839,             0.00072164,             0.00072164,             0.00072164
                     52,                0.61869,                0.48368,                 0.9745,                0.92019,                0.92187,                0.93334,                0.76215,                0.81852,                0.59341,                 1.0802,              0.0007075,              0.0007075,              0.0007075
                     53,                0.61691,                0.46828,                0.96587,                0.92381,                0.80939,                0.89966,                0.69084,                0.91711,                0.73035,                 1.1677,             0.00069335,             0.00069335,             0.00069335
                     54,                0.62351,                0.48026,                0.97579,                0.93834,                0.86319,                0.90593,                0.75514,                0.77444,                0.58043,                 1.0712,              0.0006792,              0.0006792,              0.0006792
                     55,                0.61836,                0.44876,                0.95913,                0.93778,                0.88246,                0.91336,                0.73821,                0.81057,                0.59954,                 1.1102,             0.00066506,             0.00066506,             0.00066506
                     56,                0.61061,                0.48797,                0.97202,                0.92935,                0.91023,                0.92834,                0.74475,                0.80345,                0.58412,                 1.1015,             0.00065091,             0.00065091,             0.00065091
                     57,                0.60741,                0.47435,                0.96925,                0.91859,                0.89107,                0.91436,                0.75912,                0.76222,                0.59069,                 1.1124,             0.00063676,             0.00063676,             0.00063676
                     58,                0.58741,                0.45854,                0.94841,                0.92753,                0.88503,                0.91562,                0.76811,                0.74917,                0.60018,                 1.0676,             0.00062262,             0.00062262,             0.00062262
                     59,                0.56375,                 0.4225,                0.94848,                0.91587,                0.86812,                0.92476,                0.74984,                0.74025,                0.57969,                 1.0502,             0.00060847,             0.00060847,             0.00060847
                     60,                0.59858,                0.46936,                0.96124,                0.93953,                0.86252,                0.92249,                 0.7489,                0.76714,                0.61663,                 1.0821,             0.00059432,             0.00059432,             0.00059432
                     61,                0.57583,                0.43618,                0.94715,                0.93276,                 0.9269,                0.93876,                0.78584,                0.71312,                0.52189,                 1.0569,             0.00058017,             0.00058017,             0.00058017
                     62,                0.58463,                0.44517,                0.96181,                0.94335,                0.85566,                0.92705,                0.76072,                0.74591,                0.56526,                 1.0856,             0.00056603,             0.00056603,             0.00056603
                     63,                 0.5747,                0.42502,                0.95086,                0.96121,                 0.8632,                0.92768,                0.77514,                 0.7092,                0.58487,                 1.0487,             0.00055188,             0.00055188,             0.00055188
                     64,                0.58029,                0.44004,                0.95837,                0.93396,                0.87364,                0.91367,                0.75913,                0.74831,                0.56938,                 1.0524,             0.00053773,             0.00053773,             0.00053773
                     65,                0.56662,                0.42302,                0.96073,                0.94931,                0.85697,                0.91158,                0.73763,                  0.776,                0.59211,                 1.1204,             0.00052359,             0.00052359,             0.00052359
                     66,                0.57469,                0.44239,                0.96655,                0.95442,                0.88755,                0.92778,                0.76278,                0.75995,                0.56107,                 1.0829,             0.00050944,             0.00050944,             0.00050944
                     67,                0.57047,                0.40725,                 0.9447,                0.92562,                 0.8781,                0.92861,                0.75329,                0.78695,                0.58132,                 1.0871,             0.00049529,             0.00049529,             0.00049529
                     68,                0.55928,                0.40495,                0.93796,                0.86874,                0.88197,                0.92731,                0.76152,                0.77611,                0.59839,                 1.0646,             0.00048114,             0.00048114,             0.00048114
                     69,                0.54225,                0.39718,                0.93251,                0.93192,                0.87072,                0.92291,                0.76501,                0.76256,                0.59304,                 1.0805,               0.000467,               0.000467,               0.000467
                     70,                0.55762,                0.40837,                0.95193,                0.93377,                0.84307,                0.92036,                0.77061,                0.76275,                0.58242,                 1.0614,             0.00045285,             0.00045285,             0.00045285
                     71,                0.54143,                0.39318,                0.93948,                0.91154,                0.88707,                0.92902,                 0.7616,                0.79814,                0.55396,                 1.0756,              0.0004387,              0.0004387,              0.0004387
                     72,                0.54265,                0.39454,                0.93836,                0.88399,                0.92087,                0.92831,                0.77698,                0.77312,                0.57408,                 1.0738,             0.00042456,             0.00042456,             0.00042456
                     73,                0.51805,                0.38352,                0.92434,                 0.9429,                0.90266,                0.92782,                0.77199,                0.75414,                0.54391,                 1.0709,             0.00041041,             0.00041041,             0.00041041
                     74,                0.53412,                0.38354,                0.93072,                0.95325,                 0.9257,                0.94945,                 0.7883,                0.75603,                0.48599,                  1.075,             0.00039626,             0.00039626,             0.00039626
                     75,                0.51585,                0.37842,                0.92266,                0.95388,                0.90304,                0.94284,                0.78902,                 0.7347,                0.50837,                 1.0435,             0.00038211,             0.00038211,             0.00038211
                     76,                0.54225,                0.39968,                 0.9481,                0.95612,                0.90163,                0.93206,                0.78958,                0.74029,                0.49373,                 1.0498,             0.00036797,             0.00036797,             0.00036797
                     77,                0.53479,                0.38093,                0.93599,                0.90473,                0.92189,                0.93903,                0.78253,                0.73435,                0.49712,                 1.0704,             0.00035382,             0.00035382,             0.00035382
                     78,                0.50431,                 0.3682,                0.91872,                0.95229,                0.90764,                0.95993,                0.79871,                0.73755,                0.47548,                 1.0646,             0.00033967,             0.00033967,             0.00033967
                     79,                0.49762,                0.35052,                0.91398,                0.93457,                0.93625,                0.95304,                0.78013,                0.78425,                0.49988,                 1.0661,             0.00032553,             0.00032553,             0.00032553
                     80,                0.50754,                0.36375,                0.91199,                0.95636,                0.87761,                0.94343,                0.78065,                0.76936,                0.51249,                  1.064,             0.00031138,             0.00031138,             0.00031138
                     81,                0.49789,                0.36676,                0.92293,                0.94961,                0.89814,                0.92639,                0.79835,                 0.7574,                0.52751,                 1.0583,             0.00029723,             0.00029723,             0.00029723
                     82,                0.49546,                0.35858,                0.92526,                0.95256,                0.87244,                0.91233,                0.76624,                0.75325,                0.54677,                 1.0799,             0.00028308,             0.00028308,             0.00028308
                     83,                  0.504,                0.35731,                0.93129,                0.94859,                0.87977,                0.92998,                 0.7767,                0.76082,                0.51513,                 1.0913,             0.00026894,             0.00026894,             0.00026894
                     84,                0.48937,                0.35154,                0.92563,                0.95235,                0.86964,                0.93399,                0.78665,                 0.7295,                0.50555,                 1.0783,             0.00025479,             0.00025479,             0.00025479
                     85,                0.47778,                0.34758,                0.91215,                0.94842,                0.86916,                0.93305,                0.79991,                0.71439,                0.50756,                 1.0502,             0.00024064,             0.00024064,             0.00024064
